White	Black	[:]	Victory	Winner	+/-	ECO	Opening System
1605	2114	151	time	white	509	B20	Sicilian Defense: Bowdler Attack
1500	1793	51	resign	white	293	B23	Sicilian Defense: Closed
2005	2151	43	mate	white	146	B25	Sicilian Defense: Closed Variation |  Traditional
1555	1711	83	mate	white	156	B25	Sicilian Defense: Closed Variation |  Traditional
1663	1790	25	mate	white	127	B25	Sicilian Defense: Closed Variation |  Traditional
1697	1955	36	resign	white	258	B25	Sicilian Defense: Closed Variation |  Traditional
1774	2003	57	resign	white	229	B25	Sicilian Defense: Closed Variation |  Traditional
2121	2234	67	mate	white	113	B74	Sicilian Defense: Dragon Variation |  Classical Variation |  Normal Line
1608	1794	75	resign	white	186	B32	Sicilian Defense: Franco-Sicilian Variation
1650	1910	53	resign	white	260	B40	Sicilian Defense: French Variation
1538	1660	89	resign	white	122	B40	Sicilian Defense: French Variation |  Open
1568	1696	33	resign	white	128	B32	Sicilian Defense: Loewenthal Variation
1784	1972	169	mate	white	188	B57	Sicilian Defense: Modern Variations |  Main Line
1621	1738	24	resign	white	117	B90	Sicilian Defense: Najdorf Variation
1813	1940	75	resign	white	127	B30	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
1576	1767	17	mate	white	191	B30	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
1776	1880	79	mate	white	104	B31	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation
1821	1970	46	resign	white	149	B31	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation
1480	1815	19	resign	white	335	B28	Sicilian Defense: O'Kelly Variation |  Normal System |  Taimanov Line
1609	1880	71	resign	white	271	B30	Sicilian Defense: Old Sicilian
1842	2013	37	resign	white	171	B30	Sicilian Defense: Old Sicilian
1747	1962	75	mate	white	215	B30	Sicilian Defense: Old Sicilian
1643	1924	133	resign	white	281	B44	Sicilian Defense: Paulsen Variation |  Szen Variation
1663	1826	69	resign	white	163	B21	Sicilian Defense: Smith-Morra Gambit
1560	1661	83	time	white	101	B21	Sicilian Defense: Smith-Morra Gambit #2
1540	2025	71	mate	white	485	B20	Sicilian Defense: Staunton-Cochrane Variation
1550	1763	79	time	white	213	D10	Slav Defense #2
1508	2203	41	mate	white	695	D14	Slav Defense: Exchange Variation |  Symmetrical Line
1578	1787	29	mate	white	209	D10	Slav Defense: Slav Gambit |  Alekhine Attack
1707	1858	29	resign	white	151	C46	Three Knights Opening
2148	2274	39	resign	white	126	A48	Torre Attack
1500	1973	41	time	white	473	A46	Torre Attack
1536	1962	57	resign	white	426	A45	Trompowsky Attack
1579	1722	111	mate	white	143	A45	Trompowsky Attack: Classical Defense
1253	1917	99	resign	white	664	A00	Van Geet Opening: Dunst-Perrenet Gambit
1302	1724	87	resign	white	422	A00	Van Geet Opening: Napoleon Attack
1895	2028	119	time	white	133	C25	Vienna Game: Max Lange Defense
1500	2154	35	mate	white	654	A46	Yusupov-Rubinstein System
1817	2085	113	resign	white	268	A46	Yusupov-Rubinstein System
1514	1672	40	resign	white	158	A46	Yusupov-Rubinstein System
1792	1898	29	resign	white	106	A04	Zukertort Opening: Slav Invitation
1720	1905	47	resign	white	185	A06	Zukertort Opening: Tennison Gambit
1842	1958	155	resign	white	116	A06	Zukertort Opening: Tennison Gambit
