8+0,soosi98,2035,superhero098,1961,92,mate,black,b,74,A56,6,Benoni Defense: Czech Benoni Defense
10+0,mobin1388,1881,maciek1959,1518,84,resign,black,b,363,A56,6,Benoni Defense: Czech Benoni Defense
15+0,baranornarli,1735,isachess,1794,56,mate,black,w,59,A56,6,Benoni Defense: Czech Benoni Defense
15+15,gr8_m8_m8_im_ir8,1739,samangan20,1840,54,mate,black,w,101,A65,11,Benoni Defense: King's Pawn Line
10+0,ri_chess,1585,t0ne,1820,38,resign,black,w,235,A60,6,Benoni Defense: Modern Variation
14+17,nubas1k,1309,evan_h1234,1317,23,resign,black,w,8,A43,4,Benoni Defense: Old Benoni
10+0,doom12384,1580,eze33,1617,36,resign,black,w,37,A03,2,Bird Opening
10+0,duckduckfrog,1527,ducksandcats,1861,4,mate,black,w,334,A02,1,Bird Opening
10+0,duckduckfrog,1527,smartduckduckcow,1882,4,mate,black,w,355,A02,1,Bird Opening
10+0,duckduckfrog,1533,smartduckduckcow,1897,4,mate,black,w,364,A02,1,Bird Opening
10+0,duckduckfrog,1552,smartduckduckcow,1887,4,mate,black,w,335,A02,1,Bird Opening
10+0,karmaboanil,1711,juncinmestrella,1766,56,time,black,w,55,A02,1,Bird Opening
10+0,theamazingsword,1303,unlz,1475,10,mate,black,w,172,A02,1,Bird Opening
5+10,dpoty,1466,at70,1405,60,mate,black,b,61,A02,1,Bird Opening
5+10,dpoty,1487,cesp62,2008,98,mate,black,w,521,A02,1,Bird Opening
25+1,a55s72,1670,ak6664,1345,2,resign,black,b,325,A02,1,Bird Opening
10+0,awersome,1631,xinos,1531,77,resign,black,b,100,A02,1,Bird Opening
10+0,doom12384,1571,vektor-mw,1577,70,resign,black,w,6,A03,2,Bird Opening: Dutch Variation
5+5,fischerdipper,1692,spinola01,1699,60,resign,black,w,7,A03,2,Bird Opening: Dutch Variation
10+5,wall-of-shields,1695,ducksandcats,1834,70,resign,black,w,139,A03,2,Bird Opening: Dutch Variation
10+0,karmaboanil,1729,s-a,1894,38,resign,black,w,165,A03,2,Bird Opening: Dutch Variation
10+0,lacrome,1514,trinankur,1560,46,mate,black,w,46,A03,2,Bird Opening: Dutch Variation
5+5,darkknight11111,1535,joshuaredman,1620,80,resign,black,w,85,A03,2,Bird Opening: Dutch Variation
